frame,time_epoch,src_ip,lat,lon,altitude_ft,flight_level,aircraft_id,aircraft_address,adsb_version
212,1763110268.742076800,172.16.7.2,-5.39559602737427,-76.4674830436707,39400,370,DWI3761,0x0c4354,DO-260B
213,1763110268.742134823,10.30.212.17,-11.9699692726135,-78.058032989502,41350,390,AAL957,0xaac337,DO-260B
214,1763110268.777294893,172.16.7.2,-5.39559602737427,-76.4674830436707,39400,370,DWI3761,0x0c4354,DO-260B
215,1763110268.793271432,10.30.212.17,-9.42723512649536,-78.3854985237122,37200,350,LPE2483,0xe8040c,DO-260B
216,1763110268.817719403,172.16.3.2,-4.52370643615723,-79.5598554611206,36200,340,CMP118,0x0c20bb,DO-260B
217,1763110268.898531371,10.30.212.17,-10.1195669174194,-77.8675317764282,30675,288,TAI428,0xad4ebc,DO-260B
219,1763110268.900646553,10.30.212.17,-13.7014317512512,-77.4396228790283,39275,370,UAL819,0xaac136,DO-260B
220,1763110268.943209792,172.16.3.2,-1.41013383865356,-79.8600268363953,40450,380,AAL908,0xaaa6dd,DO-260B
222,1763110268.949784885,172.16.1.2,-19.8460507392883,-75.8579778671265,32675,310,AAL945,0xaa6914,DO-260B
223,1763110268.953829374,172.16.3.2,-2.89558410644531,-79.7684025764465,37175,350,CJT1507,0xc027da,DO-260B
224,1763110268.971840131,172.16.11.2,-5.39559602737427,-76.4674830436707,39400,370,DWI3761,0x0c4354,DO-260B
225,1763110268.974770967,172.16.11.2,-5.76048374176025,-79.4054889678955,39400,370,VOI3918,0x0d0d6d,DO-260B
226,1763110269.030173068,172.16.3.2,-2.38909721374512,-81.8676495552063,31775,300,UAL855,0xa89234,DO-260B
228,1763110269.033211590,172.16.3.2,-3.53673934936523,-79.6864342689514,34025,320,CMP338,0x0c20d6,DO-260B
229,1763110269.033254328,172.16.13.2,-6.27941608428955,-72.8631734848022,38375,360,AVA240,0xaa57e6,DO-260B
230,1763110269.050356566,172.16.13.2,-6.27941608428955,-72.8631734848022,38375,360,AVA240,0xaa57e6,DO-260B
231,1763110269.056253181,172.16.3.2,-5.76174974441528,-79.4052958488464,39400,370,VOI3918,0x0d0d6d,DO-260B
232,1763110269.056284045,172.16.7.2,-9.35874223709106,-76.8008065223694,37275,350,DWI6771,0x0c4355,DO-260B
233,1763110269.101665725,172.16.7.2,-9.35874223709106,-76.8008065223694,37275,350,DWI6771,0x0c4355,DO-260B
234,1763110269.101872382,172.16.7.2,-6.27941608428955,-72.8631734848022,38375,360,AVA240,0xaa57e6,DO-260B
235,1763110269.128785755,172.16.7.2,-6.27941608428955,-72.8631734848022,38375,360,AVA240,0xaa57e6,DO-260B
236,1763110269.128819091,172.16.5.2,-13.5501337051392,-74.8640155792236,31500,297.75,RER9511,0xe840a0,DO-260B
237,1763110269.166457832,172.16.5.2,-13.5501337051392,-74.8640155792236,31500,297.75,RER9511,0xe840a0,DO-260B
239,1763110269.179919098,10.30.212.17,-12.0118546485901,-77.3640489578247,18675,176.75,LPE2811,0xe80408,DO-260B
240,1763110269.179959630,172.16.13.2,-2.32676267623901,-72.9891729354858,38325,360,CMP206,0x0c205f,DO-260B
241,1763110269.183635094,172.16.13.2,-2.32676267623901,-72.9891729354858,38325,360,CMP206,0x0c205f,DO-260B
242,1763110269.206607573,172.16.11.2,-5.85373878479004,-79.3937301635742,34050,320,CMP276,0x0c20b5,DO-260B
243,1763110269.242347250,172.16.1.2,-20.3243637084961,-75.7139110565186,35750,340,CMP475,0x0c20f5,DO-260B
244,1763110269.257518920,172.16.3.2,-7.64335155487061,-79.1681671142578,37325,350.25,AAL1307,0xa515ad,DO-260B
246,1763110269.265069218,172.16.3.2,-7.4857234954834,-79.1882514953613,38250,360,LAN572,0xe8022a,DO-260B
247,1763110269.267529016,172.16.11.2,-9.42826509475708,-78.3850264549255,37200,350,LPE2483,0xe8040c,DO-260B
248,1763110269.270856615,172.16.3.2,-7.29687452316284,-79.8948097229004,,390,AAL933,0xac1076,DO-260B
249,1763110269.270891805,172.16.13.2,-1.82827949523926,-70.4625964164734,38375,360,AVA248,0xad1861,DO-260B
250,1763110269.335420628,172.16.13.2,-1.82827949523926,-70.4625964164734,38375,360,AVA248,0xad1861,DO-260B
251,1763110269.363714426,172.16.11.2,-9.35960054397583,-76.8009567260742,37300,350,DWI6771,0x0c4355,DO-260B
252,1763110269.389138678,172.16.3.2,-5.85373878479004,-79.3937301635742,34050,320,CMP276,0x0c20b5,DO-260B
253,1763110269.389569365,10.30.212.17,-12.2708702087402,-77.9747343063354,36175,340,TPA4090,0xa3ad89,DO-260B
254,1763110269.393750956,10.30.212.17,-12.2708702087402,-77.9747343063354,36175,340,TPA4090,0xa3ad89,DO-260B
255,1763110269.397329231,172.16.3.2,-6.82371139526367,-79.2719793319702,34075,320.25,CMP421,0x0c2076,DO-260B
256,1763110269.397369631,172.16.13.2,-2.69476175308228,-72.9325461387634,34075,320,CMP439,0x0c20dd,DO-260B
257,1763110269.409011315,172.16.13.2,-2.69476175308228,-72.9325461387634,34075,320,CMP439,0x0c20dd,DO-260B
258,1763110269.419294506,172.16.3.2,-7.10566520690918,-78.8019490242004,34075,320,CMP264,0x0c21b6,DO-260B
259,1763110269.419727856,10.30.212.17,-11.9040942192078,-77.3897123336792,40325,380,RPB509,0x0c2081,DO-260B
260,1763110269.420195282,10.30.212.17,-15.0096845626831,-77.2544860839844,39200,370,UAL847,0xaac8a4,DO-260B
261,1763110269.426028104,10.30.212.17,-15.0096845626831,-77.2544860839844,39200,370,UAL847,0xaac8a4,DO-260B
262,1763110269.427573054,172.16.11.2,-7.10566520690918,-78.8019490242004,34075,320,CMP264,0x0c21b6,DO-260B
264,1763110269.427640210,172.16.13.2,-5.39450168609619,-76.4671182632446,39400,370,DWI3761,0x0c4354,DO-260B
